Date,Stock,Action,Shares,Price,Value,Cost
2014-01-07,AAPL,BUY,597,10.00922966003418,5975.510107040405,5.975510107040406
2014-01-08,AAPL,BUY,66145,9.810283660888672,648901.2127494812,648.9012127494813
2014-01-09,AAPL,SELL,66540,9.920048713684082,660080.0414085388,660.0800414085388
2014-01-10,AAPL,BUY,66356,9.968070030212402,661441.2549247742,661.4412549247742
2014-01-13,AAPL,BUY,465,9.782840728759766,4549.020938873291,4.549020938873291
2014-01-14,AAPL,SELL,66537,9.906325340270996,659137.1691656113,659.1371691656112
2014-01-15,AAPL,BUY,66389,9.810283660888672,651294.921962738,651.294921962738
2014-01-16,AAPL,SELL,66959,9.81714153289795,657345.9799013138,657.3459799013137
2014-01-17,AAPL,BUY,67018,9.810283660888672,657465.590385437,657.465590385437
2014-01-21,AAPL,SELL,66905,9.89946746826172,662323.8709640504,662.3238709640505
2014-01-22,AAPL,BUY,161,9.926909446716309,1598.2324209213257,1.5982324209213257
2014-01-23,AAPL,BUY,67254,9.734819412231444,654705.5447502135,654.7055447502136
2014-01-24,AAPL,SELL,69253,9.412382125854492,651835.6993618011,651.8356993618012
2014-01-27,AAPL,BUY,339,9.357499122619627,3172.1922025680537,3.172192202568054
2014-01-28,AAPL,BUY,736,9.58388900756836,7053.7423095703125,7.053742309570312
2014-01-29,AAPL,BUY,68703,9.43296241760254,648072.8169765474,648.0728169765474
2014-01-30,AAPL,SELL,68587,9.605097770690918,658784.840798378,658.784840798378
2014-01-31,AAPL,BUY,68209,9.680838584899902,660320.3190374374,660.3203190374375
2014-02-03,AAPL,BUY,489,9.439847946166992,4616.085645675659,4.61608564567566
2014-02-04,AAPL,SELL,68606,9.522473335266112,653298.8056392669,653.2988056392669
2014-02-05,AAPL,BUY,68075,9.52935791015625,648711.0397338867,648.7110397338868
2014-02-06,AAPL,SELL,436,9.611981391906738,4190.823886871338,4.190823886871338
2014-02-07,AAPL,SELL,59,9.680838584899902,571.1694765090942,0.5711694765090942
2014-02-10,AAPL,BUY,48,9.6739501953125,464.349609375,0.464349609375
2014-02-11,AAPL,SELL,622,9.866744041442873,6137.114793777467,6.137114793777467
2014-02-12,AAPL,BUY,375,9.852971076965332,3694.8641538619995,3.6948641538619995
2014-02-13,AAPL,SELL,553,9.976905822753906,5517.22891998291,5.5172289199829105
2014-02-14,AAPL,SELL,29,10.066415786743164,291.92605781555176,0.29192605781555175
2014-02-18,AAPL,SELL,78,10.162814140319824,792.6995029449463,0.7926995029449463
2014-02-19,AAPL,BUY,819,9.921823501586914,8125.973447799683,8.125973447799684
2014-02-20,AAPL,SELL,66550,9.997565269470217,665337.9686832429,665.3379686832429
2014-02-21,AAPL,BUY,65835,10.0733060836792,663176.1060190201,663.17610601902
2014-02-24,AAPL,BUY,669,9.825428009033203,6573.211338043213,6.573211338043213
2014-02-25,AAPL,SELL,66590,9.839200019836426,655192.3293209076,655.1923293209076
2014-02-26,AAPL,BUY,66550,9.756576538085938,649300.1686096191,649.3001686096192
2014-02-27,AAPL,SELL,67776,9.48805046081543,643062.1080322266,643.0621080322265
2014-02-28,AAPL,BUY,100,9.398537635803224,939.8537635803225,0.9398537635803225
2014-03-03,AAPL,BUY,247,9.54312801361084,2357.1526193618774,2.3571526193618775
2014-03-04,AAPL,BUY,67275,9.605097770690918,646182.9525232315,646.1829525232315
2014-03-05,AAPL,SELL,355,9.667064666748049,3431.807956695557,3.431807956695557
2014-03-06,AAPL,BUY,273,9.632638931274414,2629.710428237915,2.629710428237915
